cm_name,category_tree_text
Four Wheeler,Industry^Automobiles^Four Wheeler
Two Wheeler,Industry^Automobiles^Two Wheeler
2bhk Flat,Industry^Real Estate^Property Type^2bhk Flat
3bhk Flat,Industry^Real Estate^Property Type^3bhk Flat
4bhk+ Flat,Industry^Real Estate^Property Type^4bhk+ Flat
AAP Followers,Industry^News & Politics^Politics^AAP Followers
Action and Adventure,Industry^Sports & Games^Online Games^Action and Adventure
Ahmedabad,Industry^Real Estate^Location^Ahmedabad
Airtel Wynk,Industry^Entertainment^Music Streaming Services^Airtel Wynk
Airtel Xstream,Industry^Entertainment^OTT Apps^Airtel Xstream
Amazon Prime Music,Industry^Entertainment^Music Streaming Services^Amazon Prime Music
Amazon Prime Video,Industry^Entertainment^OTT Apps^Amazon Prime Video
Android Phones,Industry^Gadgets & Technology^Smartphones^Android Phones
Arcade,Industry^Sports & Games^Online Games^Arcade
BJP Followers,Industry^News & Politics^Politics^BJP Followers
Baby Products,Industry^Shopping^Baby Products
Badminton,Industry^Sports & Games^Outdoor Games^Badminton
Benguluru,Industry^Real Estate^Location^Benguluru
Bike,Industry^Travel^Auto Rentals^Bike
Bike Insurance,Industry^Banking & Finance^Insurance^Bike Insurance
Board,Industry^Sports & Games^Online Games^Board
Bride,Industry^Family and Relationships^Matrimony^Bride
Cabs,Industry^Travel^Cabs
Car,Industry^Travel^Auto Rentals^Car
Car Loan,Industry^Banking & Finance^Loans^Car Loan
Casino & Cards,Industry^Sports & Games^Online Games^Casino & Cards
Chennai,Industry^Real Estate^Location^Chennai
Congress Followers,Industry^News & Politics^Politics^Congress Followers
Cosmetics,Industry^FMCG^Cosmetics
Credit Checks,Industry^Banking & Finance^Investment^Credit Checks
Dating,Industry^Family and Relationships^Matrimony^Dating
Debit Cards,Industry^Banking & Finance^Banking^Debit Cards
Delhi,Industry^Real Estate^Location^Delhi
Demat Account,Industry^Banking & Finance^Banking^Demat Account
Dish TV & D2H,Industry^Entertainment^Offline Entertainment^Dish TV & D2H
Domestic,Industry^Travel^Tourism^Domestic
Domestic,Industry^Travel^Vacation^Domestic
Echo & Alexa,Industry^Gadgets & Technology^IOT Devices^Echo & Alexa
Electric Bikes,Industry^Automobiles^Two Wheeler^Electric Bikes
FMCG,Industry^FMCG
Faridabad,Industry^Real Estate^Location^Faridabad
Fire TV Stick,Industry^Gadgets & Technology^IOT Devices^Fire TV Stick
Food delivery,Industry^Food & Dining^Food delivery
Foods & Beverages,Industry^FMCG^Foods & Beverages
Footwear,Industry^Shopping^Footwear
Foreign exchange,Industry^Banking & Finance^Investment^Foreign exchange
Gaana,Industry^Entertainment^Music Streaming Services^Gaana
Ghaziabad,Industry^Real Estate^Location^Ghaziabad
Gift Cards & Mobile Recharges,Industry^Shopping^Gift Cards & Mobile Recharges
Golf,Industry^Sports & Games^Outdoor Games^Golf
Google Home,Industry^Gadgets & Technology^IOT Devices^Google Home
